,City,Lat-Long 1,Lat-Long 2,Box size
138,"('Bozhou', 'China')","('32.8601034', '115.5404786')","('34.0780235', '116.8223493')",180.12328426911395 km
139,"('Melbourne', 'Australia')","('-38.49937', '144.44405')","('-37.40175', '146.1925')",196.1011220766423 km
140,"('Nanchang', 'China')","('28.1606742', '115.4342621')","('29.1250725', '116.560835')",153.4796561213551 km
141,"('Xianyang', 'China')","('34.19817', '107.6475508')","('35.5445384', '109.1807328')",204.83499208651816 km
142,"('Taizhou', 'China')","('27.9518005', '120.2850399')","('29.3472596', '122.1787614')",241.23153042214878 km
143,"('Surabaya', 'Indonesia')","('-7.3514405', '112.5915698')","('-7.1842308', '112.8467989')",33.70996734769569 km
144,"('Abidjan', 'Côte D’Ivoire')","('5.160357', '-4.176107')","('5.480357', '-3.856107')",50.10319372372821 km
145,"('Ji’an', 'China')","('25.9751756', '113.8290882')","('27.9660198', '115.930953')",303.63962810705306 km
146,"('Mianyang', 'China')","('30.7081608', '103.7462139')","('33.0443666', '105.721836')",319.4357120526746 km
147,"('Shaoxing', 'China')","('29.2304075', '119.8903733')","('30.2881762', '121.2276935')",174.57545974777545 km
148,"('Alexandria', 'Egypt')","('31.039004', '29.734378')","('31.359004', '30.054378')",46.785546455950325 km
149,"('Yuncheng', 'China')","('34.867637', '110.842141')","('35.187637', '111.162141')",45.968518296701184 km
150,"('Pingdingshan', 'China')","('33.1300202', '112.2416803')","('34.3465701', '113.6838903')",189.91370871656804 km
151,"('Huai’an', 'China')","('32.7185909', '118.1965521')","('34.0957973', '119.64129')",203.44759520899214 km
152,"('Xinpu', 'China')","('27.588434', '119.891721')","('27.668434', '119.971721')",11.871515224363616 km
153,"('Guilin', 'China')","('24.2627535', '109.6116428')","('26.3878717', '111.4875912')",301.8066006568252 km
154,"('Huaihua', 'China')","('27.4113952', '109.8372341')","('27.7313952', '110.1572341')",47.49667082610672 km
155,"('Jiujiang', 'China')","('28.6887413', '113.936723')","('30.0799869', '116.8995093')",326.3296024065496 km
156,"('Anqing', 'China')","('30.3676161', '116.8915956')","('30.6876161', '117.2115956')",46.9220582915942 km
157,"('Boston', 'United States')","('42.2279112', '-71.1912491')","('42.3969775', '-70.8044881')",37.00548919070186 km
158,"('Changzhou', 'China')","('31.1530205', '119.1348516')","('32.0617334', '120.2011368')",142.79276140728217 km
159,"('Barcelona', 'Spain')","('41.3170353', '2.0524977')","('41.4679135', '2.2283555')",22.29585961477697 km
160,"('Chenzhou', 'China')","('25.6142293', '112.8477439')","('25.9342293', '113.1677439')",47.823594293981586 km
161,"('Wuxi', 'China')","('31.1041479', '119.513939')","('31.9927112', '120.6005139')",142.65722770032252 km
162,"('Zibo', 'China')","('35.9240856', '117.5448187')","('37.2819283', '118.5157957')",173.92772655432822 km
163,"('Jiaxing', 'China')","('30.2645717', '120.2911826')","('31.0324329', '121.5344906')",146.45380437501632 km
164,"('Dalian', 'China')","('38.7581714', '121.4682945')","('39.0781714', '121.7882945')",45.07963060906554 km
165,"('Harbin', 'China')","('44.0599824', '125.6782545')","('46.6718214', '130.2335015')",459.8862024956007 km
