,City,Lat-Long 1,Lat-Long 2,Box size
17944,"('Kewanee', 'United States')","('41.214814', '-89.964774')","('41.261416', '-89.887008')",8.323878880198675 km
17945,"('Weinfelden', 'Switzerland')","('47.548702', '9.0699102')","('47.5878123', '9.1459874')",7.188744419206088 km
17946,"('Tzintzuntzán', 'Mexico')","('19.6058467', '-101.5967139')","('19.6458467', '-101.5567139')",6.100068035969713 km
17947,"('Pell City', 'United States')","('33.493034', '-86.326941')","('33.626105', '-86.19366')",19.261772649897495 km
17948,"('Prieska', 'South Africa')","('-29.706286', '22.70439')","('-29.626286', '22.78439')",11.773517047954872 km
17949,"('Tyngsborough', 'United States')","('42.6174035', '-71.4985934')","('42.7004602', '-71.3664349')",14.231673856902884 km
17950,"('Poquoson', 'United States')","('37.0942663', '-76.4135991')","('37.197838', '-76.1352138')",27.272623977609744 km
17951,"('Arth', 'Switzerland')","('47.0216895', '8.4648597')","('47.0948919', '8.5801215')",11.954482656060737 km
17952,"('Clayton', 'United States')","('38.633622', '-90.3538947')","('38.6582203', '-90.3033968')",5.175193546740014 km
17953,"('Rovinari', 'Romania')","('44.8904522', '23.1261341')","('44.9521582', '23.2033534')",9.175796421727087 km
17954,"('Perth East', 'Canada')","('43.2902004', '-81.1330566')","('43.6990025', '-80.7357918')",55.63580665518137 km
17955,"('Gaildorf', 'Germany')","('48.9506769', '9.7023038')","('49.049201', '9.8312041')",14.45726499765536 km
17956,"('Blythe', 'United States')","('33.5734767', '-114.6337537')","('33.6534767', '-114.5537537')",11.569414889852183 km
17957,"('Velddrif', 'South Africa')","('-32.825556', '18.140556')","('-32.745556', '18.220556')",11.613684694378309 km
17958,"('Larkspur', 'United States')","('37.921661', '-122.5529259')","('37.9588037', '-122.5016948')",6.105490886145634 km
17959,"('Cottonwood', 'United States')","('32.4477776', '-96.4218694')","('32.4758336', '-96.3721873')",5.612274219605568 km
17960,"('Wünnenberg', 'Germany')","('51.4720435', '8.6555383')","('51.5456063', '8.7466847')",10.345489811936886 km
17961,"('Vulcăneşti', 'Moldova')","('45.6041704', '28.3017275')","('45.748149', '28.5128976')",22.95177036573541 km
17962,"('Vilsbiburg', 'Germany')","('48.3835854', '12.2726756')","('48.4941096', '12.4293869')",16.89658113560803 km
17963,"('Vălenii de Munte', 'Romania')","('45.1687174', '26.0069096')","('45.2155295', '26.0902812')",8.36594766510842 km
17964,"('Palestina', 'Brazil')","('-20.5056735', '-49.6920337')","('-20.1704581', '-49.3093005')",54.53891238492689 km
17965,"('Bankya', 'Bulgaria')","('42.667125', '23.051934')","('42.740204', '23.2059263')",15.002961679175488 km
17966,"('Węgorzewo', 'Poland')","('54.183831', '21.7123207')","('54.2321645', '21.7854832')",7.192524554001834 km
17967,"('Ocean Pines', 'United States')","('36.1848852', '-75.7862985')","('36.2248852', '-75.7462985')",5.713160608980241 km
17968,"('Cecil', 'United States')","('44.788569', '-88.461839')","('44.824281', '-88.4330432')",4.575969966096029 km
17969,"('Lincolnwood', 'United States')","('41.997243', '-87.76227')","('42.015423', '-87.7090752')",4.847417006020221 km
17970,"('Burladingen', 'Germany')","('48.2519649', '9.0246383')","('48.3766716', '9.221655')",20.14518945262239 km
17971,"('North Valley', 'United States')","('35.116077', '-106.646093')","('35.208442', '-106.598568')",11.124526951331045 km
17972,"('Arkansas City', 'United States')","('37.038676', '-97.067337')","('37.141627', '-96.9998432')",12.905352677937115 km
17973,"('Dăbuleni', 'Romania')","('43.6993978', '24.0223516')","('43.90384', '24.2317199')",28.281659953913646 km
17974,"('Sapna', 'Bosnia And Herzegovina')","('44.4516604', '18.9627278')","('44.5316604', '19.0427278')",10.932465920422485 km
17975,"('Elon', 'United States')","('36.0815113', '-79.5351366')","('36.154828', '-79.4748243')",9.780928284871415 km
17976,"('Palmer', 'United States')","('61.574473', '-149.16451')","('61.628296', '-149.071488')",7.768988197865202 km
17977,"('Perleberg', 'Germany')","('53.0059242', '11.7932274')","('53.104248', '11.9012449')",13.12208254851688 km
17978,"('Aleksandrovsk', 'Russia')","('59.1193861', '57.5461232')","('59.1993861', '57.6261232')",10.018352699139513 km
17979,"('Wells Branch', 'United States')","('30.4245168', '-97.697821')","('30.468225', '-97.666568')",5.700015837656929 km
17980,"('West Monroe', 'United States')","('32.481245', '-92.198233')","('32.551219', '-92.112634')",11.175987591523288 km
17981,"('Beatrice', 'United States')","('40.226105', '-96.806281')","('40.312294', '-96.706683')",12.781240480059997 km
17982,"('Wolgast', 'Germany')","('53.9669985', '13.6397774')","('54.0852958', '13.83057')",18.157955862292994 km
17983,"('North Castle', 'United States')","('40.957895', '-80.397409')","('41.027698', '-80.315302')",10.383823137475048 km
17984,"('Parkes', 'Australia')","('-33.277325', '147.5430287')","('-32.3692171', '148.5072551')",135.25639231306369 km
17985,"('Gatumba', 'Burundi')","('-3.3748819', '29.2129634')","('-3.2948819', '29.2929634')",12.541865671995108 km
17986,"('Wilmington', 'United States')","('39.6880352', '-75.588459')","('39.7730389', '-75.4707753')",13.81517875680361 km
17987,"('Ahram', 'Iran')","('28.8430282', '51.2342019')","('28.9230282', '51.3142019')",11.811811761196 km
17988,"('Batesville', 'United States')","('35.7376486', '-91.6696345')","('35.8037037', '-91.5758139')",11.211071929846035 km
17989,"('Prince Rupert', 'Canada')","('54.2016096', '-130.3657113')","('54.3388901', '-130.2459273')",17.158127433028568 km
17990,"('Amherst', 'United States')","('42.3014554', '-72.5467762')","('42.4338163', '-72.4641941')",16.200093063051778 km
17991,"('Kibungo', 'Rwanda')","('-2.1801206', '30.5148782')","('-2.1001206', '30.5948782')",12.547987729511016 km
17992,"('Nový Bor', 'Czechia')","('50.7099154', '14.5300317')","('50.7935777', '14.5943578')",10.355003243062542 km
17993,"('Athens', 'United States')","('33.8480209', '-83.5374696')","('34.039466', '-83.2408342')",34.68342246325168 km
17994,"('Neuenrade', 'Germany')","('51.2452576', '7.7299761')","('51.3179836', '7.9224868')",15.680519965156071 km
17995,"('Ringwood', 'United States')","('41.051097', '-74.346195')","('41.1630561', '-74.213291')",16.71010349959095 km
17996,"('Jesup', 'United States')","('42.4641034', '-92.0817678')","('42.4843062', '-92.0467645')",3.649880609161357 km
17997,"('Ishpeming', 'United States')","('46.4630635', '-87.697856')","('46.513888', '-87.6337767')",7.491647407519845 km
17998,"('Üllő', 'Hungary')","('47.3277528', '19.2787499')","('47.4221149', '19.4051701')",14.185086653285373 km
17999,"('Neustadt', 'Germany')","('49.295981', '8.0009672')","('49.4009799', '8.3173792')",25.786182673981997 km
18000,"('Speedway', 'United States')","('39.765047', '-86.2754629')","('39.8107631', '-86.225191')",6.656398618425054 km
18001,"('Enumclaw', 'United States')","('47.162991', '-122.026845')","('47.246211', '-121.940277')",11.340955682657468 km
18002,"('Uzyn', 'Ukraine')","('49.7963279', '30.349284')","('49.8628093', '30.4754493')",11.708027466210071 km
18003,"('Roding', 'Germany')","('49.1338627', '12.3706135')","('49.2768494', '12.5697212')",21.52646912504533 km
18004,"('Arganil', 'Portugal')","('40.1363126', '-8.207357')","('40.3041309', '-7.7823921')",40.69013037177267 km
18005,"('Lakeside', 'United States')","('42.6102732', '-95.1908031')","('42.624322', '-95.1712081')",2.240566923285333 km
18006,"('Zwönitz', 'Germany')","('50.5958231', '12.7625003')","('50.6997029', '12.9138652')",15.75269391236384 km
18007,"('Neosho', 'United States')","('36.791781', '-94.447768')","('36.909423', '-94.333909')",16.539534044920224 km
18008,"('Leominster', 'United Kingdom')","('52.1873558', '-2.7775333')","('52.2673558', '-2.6975333')",10.446145736758416 km
18009,"('Lincoln City', 'United States')","('44.9131889', '-124.0262016')","('45.0242563', '-123.9779758')",12.916084106643515 km
18010,"('Socuéllamos', 'Spain')","('39.0870336', '-2.9452033')","('39.397809', '-2.7220991')",39.51426993930431 km
18011,"('Prévost', 'Canada')","('45.8181151', '-74.1122954')","('45.903665', '-74.0091262')",12.434055279584221 km
18012,"('Northlake', 'United States')","('41.899696', '-87.920562')","('41.937045', '-87.881659')",5.255907466800371 km
18013,"('North Greenbush', 'United States')","('43.0308608', '-84.6014455')","('43.1176851', '-84.4836236')",13.605771932889022 km
18014,"('Eatontown', 'United States')","('40.270664', '-74.080622')","('40.31497', '-74.02762')",6.671870771631042 km
18015,"('Newport', 'United States')","('41.448967', '-71.363448')","('41.5231244', '-71.285086')",10.51963341143305 km
18016,"('Lauffen am Neckar', 'Germany')","('49.0513617', '9.1147767')","('49.1085039', '9.3756854')",20.092031822552983 km
18017,"('Nova Gradiška', 'Croatia')","('45.2199175', '17.3426861')","('45.2999175', '17.4226861')",10.884706066505997 km
18018,"('Bad Vöslau', 'Austria')","('47.9433492', '16.0858382')","('48.0065045', '16.2524908')",14.287344014321118 km
18019,"('Richland Township', 'United States')","('43.3901979', '-84.2908672')","('43.4819076', '-84.170364')",14.106731937212775 km
18020,"('Ladenburg', 'Germany')","('49.4449026', '8.5697202')","('49.50204', '8.6464957')",8.446598733902414 km
18021,"('Harrislee', 'Germany')","('54.780806', '9.3420529')","('54.8426097', '9.4228891')",8.622386907658086 km
18022,"('Harwich', 'United States')","('41.6033236', '-70.1338506')","('41.7289397', '-69.9803787')",18.92138839616904 km
18023,"('Lower Pottsgrove', 'United States')","('40.2229272', '-75.6290238')","('40.2813993', '-75.5601925')",8.743518258055719 km
18024,"('Tabapuã', 'Brazil')","('-21.065', '-49.131')","('-20.8109826', '-48.9041699')",36.7096067165576 km
18025,"('Sainte-Adèle', 'Canada')","('45.9108304', '-74.2465906')","('46.0330173', '-73.9784607')",24.825103083015858 km
18026,"('Freeport', 'United States')","('42.2493178', '-89.6865714')","('42.3214008', '-89.5776414')",12.034598187929431 km
18027,"('Webb City', 'United States')","('37.101758', '-94.4934979')","('37.174935', '-94.438509')",9.477587166757354 km
18028,"('Tábua', 'Portugal')","('40.2407222', '-8.1340003')","('40.4239565', '-7.8989748')",28.510778025153453 km
18029,"('Cherlak', 'Russia')","('54.1140714', '74.7577679')","('54.1946513', '74.8565934')",11.051391759861135 km
18030,"('Leingarten', 'Germany')","('49.1182106', '9.0716351')","('49.1712667', '9.1606297')",8.773541615753093 km
18031,"('Coolidge', 'United States')","('38.036925', '-102.01835')","('38.044808', '-101.998831')",1.9239336424285414 km
18032,"('Nová Dubnica', 'Slovakia')","('48.8958736', '18.1057351')","('48.9758736', '18.1857351')",10.653881199406097 km
18033,"('Knowsley', 'United Kingdom')","('53.346635', '-2.9226581')","('53.5039062', '-2.7433955')",21.174824119019263 km
18034,"('Bicske', 'Hungary')","('47.4419435', '18.4851646')","('47.569489', '18.6960148')",21.29332030629769 km
18035,"('Melissa', 'United States')","('33.2583636', '-96.6062955')","('33.3134477', '-96.4946952')",12.057922088335935 km
18036,"('Motegi', 'Japan')","('36.397284', '140.128366')","('36.62501', '140.260183')",27.893021964959196 km
18037,"('Drouin', 'Australia')","('-38.19423', '145.793291')","('-38.091783', '145.887473')",14.05260402603943 km
18038,"('Uacu Cungo', 'Angola')","('-11.40343', '15.080778')","('-11.32343', '15.160778')",12.432281717096508 km
18039,"('Rogerstone', 'United Kingdom')","('51.5753975', '-3.0836265')","('51.6196929', '-3.0267231')",6.3114974903530054 km
18040,"('New Garden', 'United States')","('39.7742769', '-75.7921604')","('39.8542769', '-75.7121604')",11.216984890652965 km
18041,"('James Island', 'United States')","('47.9042443', '-124.6523193')","('47.9083987', '-124.6453782')",0.69472908299724 km
18042,"('Kingsburg', 'United States')","('36.5033625', '-119.57897')","('36.536616', '-119.538755')",5.156653029533256 km
18043,"('Brwinów', 'Poland')","('52.1264333', '20.6842492')","('52.1592139', '20.7484529')",5.711674870168216 km
18044,"('Comarnic', 'Romania')","('45.2156589', '25.5326517')","('45.3226049', '25.7035498')",17.920328210075652 km
18045,"('Xichú', 'Mexico')","('21.2787913', '-100.0792077')","('21.3187913', '-100.0392077')",6.06968775491307 km
18046,"('Boskovice', 'Czechia')","('49.4717597', '16.6291774')","('49.5213039', '16.6977561')",7.419143539171555 km
18047,"('Platteville', 'United States')","('40.199476', '-104.8675082')","('40.2326369', '-104.810563')",6.087329233930829 km
18048,"('Mineral del Monte', 'Mexico')","('20.0984604', '-98.7133356')","('20.1784604', '-98.6333356')",12.181987368245508 km
18049,"('Lovington', 'United States')","('32.914833', '-103.3726818')","('32.973781', '-103.328983')",7.709585467829199 km
18050,"('Middle Valley', 'United States')","('35.159095', '-85.237452')","('35.215076', '-85.12716')",11.810301431816988 km
18051,"('Eureka', 'United States')","('40.745348', '-124.20815')","('40.824764', '-124.089657')",13.334612272002557 km
18052,"('Jacala', 'Mexico')","('20.9867828', '-99.2132616')","('21.0267828', '-99.1732616')",6.075148917722552 km
18053,"('Kentville', 'Canada')","('45.0554399', '-64.5658742')","('45.0900181', '-64.4737542')",8.209144708568978 km
18054,"('Pepperell', 'United States')","('42.6258123', '-71.6579301')","('42.7048257', '-71.5324081')",13.52540429561854 km
18055,"('Rehoboth', 'United States')","('41.7748028', '-71.3007198')","('41.9122438', '-71.1867852')",17.960525468931834 km
18056,"('Little Chute', 'United States')","('44.272587', '-88.3578861')","('44.3123945', '-88.282164')",7.489278852719018 km
18057,"('Tiszakécske', 'Hungary')","('46.8747116', '19.9826833')","('47.0195845', '20.1600896')",21.019074020049626 km
18058,"('Erfelek', 'Turkey')","('41.8393624', '34.8680508')","('41.9193624', '34.9480508')",11.092894312936538 km
18059,"('Wang Saphung', 'Thailand')","('17.2591377', '101.727796')","('17.3391377', '101.807796')",12.277167625072368 km
18060,"('Sakamoto', 'Japan')","('35.7752442', '139.0059326')","('35.7952442', '139.0259326')",2.8624838928351584 km
18061,"('Sedro-Woolley', 'United States')","('48.488275', '-122.280411')","('48.529599', '-122.209839')",6.950304075756737 km
18062,"('Minden', 'United States')","('41.4625661', '-95.5501298')","('41.4773163', '-95.5362864')",2.0052374041192977 km
18063,"('Ardanuç', 'Turkey')","('41.0818871', '42.0284364')","('41.1618871', '42.1084364')",11.138726740679376 km
18064,"('Oestrich-Winkel', 'Germany')","('49.9834096', '7.9115885')","('50.113067', '8.0540693')",17.667221780497716 km
18065,"('Weston', 'United States')","('26.0617552', '-80.450049')","('26.146019', '-80.361895')",12.841713910523115 km
18066,"('Bath', 'United States')","('43.8666344', '-69.8746573')","('43.9856548', '-69.8080066')",14.266553475085768 km
18067,"('Somerville', 'United States')","('42.3725268', '-71.134635')","('42.4181555', '-71.0726884')",7.190542192601582 km
18068,"('Ottawa', 'United States')","('41.309691', '-88.890432')","('41.397935', '-88.763177')",14.472502757428622 km
18069,"('Oswaldtwistle', 'United Kingdom')","('53.7007791', '-2.4385152')","('53.7807791', '-2.3585152')",10.351088407265493 km
18070,"('Alavus', 'Finland')","('62.3677449', '23.1612392')","('62.8089453', '23.9994959')",65.37050808471749 km
18071,"('La Homa', 'United States')","('26.2100721', '-98.4036279')","('26.2900721', '-98.3236279')",11.93470112095782 km
18072,"('Toropets', 'Russia')","('56.4555171', '31.5680601')","('56.539466', '31.6929077')",12.103930523960459 km
18073,"('Alvorada', 'Brazil')","('-30.0514904', '-51.0943466')","('-29.9564871', '-50.9482111')",17.598448765690037 km
18074,"('Gatesville', 'United States')","('31.3870934', '-97.7955357')","('31.4904814', '-97.6995137')",14.653785201271113 km
18075,"('Don Sak', 'Thailand')","('9.27418', '99.64791')","('9.35418', '99.72791')",12.47144364135925 km
18076,"('Martuni', 'Armenia')","('40.1239662', '45.2870392')","('40.1529926', '45.3228904')",4.441006765051913 km
18077,"('South Charleston', 'United States')","('38.289371', '-81.758959')","('38.374643', '-81.66827')",12.347856530207126 km
18078,"('Sowerby Bridge', 'United Kingdom')","('53.6697606', '-1.9488241')","('53.7497606', '-1.8688241')",10.35303082723728 km
18079,"('Vail', 'United States')","('39.61496', '-106.439436')","('39.650774', '-106.279747')",14.274228964437704 km
18080,"('Leeds', 'United States')","('33.505341', '-86.618118')","('33.506977', '-86.616022')",0.2661841758445545 km
18081,"('Bad Fallingbostel', 'Germany')","('52.8384977', '9.6449238')","('52.9572972', '9.8613449')",19.669686661746827 km
18082,"('East Bethel', 'United States')","('45.296355', '-93.265932')","('45.4141763', '-93.141742')",16.314531987082745 km
18083,"('Southwick', 'United Kingdom')","('50.7945258', '-0.2783308')","('50.8745258', '-0.1983308')",10.53398580062719 km
18084,"('Villas', 'United States')","('26.526012', '-81.886625')","('26.5756602', '-81.854289')",6.375078156574928 km
18085,"('Festus', 'United States')","('38.1813', '-90.436683')","('38.243945', '-90.384579')",8.31718143670285 km
18086,"('Moss Bluff', 'United States')","('30.26185', '-93.250293')","('30.331286', '-93.153743')",12.063043957651526 km
18087,"('Falmouth', 'United States')","('38.654218', '-84.3467187')","('38.6828463', '-84.32125')",3.8746176656657654 km
18088,"('Riverview', 'United States')","('31.049336', '-87.067076')","('31.064267', '-87.053067')",2.127974500836768 km
18089,"('Smithfield', 'United States')","('35.4673959', '-78.403507')","('35.550612', '-78.301725')",13.057720834846817 km
18090,"('Damascus', 'United States')","('45.3915446', '-122.5076006')","('45.46158', '-122.3777929')",12.797880242901513 km
18091,"('Kőszeg', 'Hungary')","('47.3526671', '16.4454285')","('47.4130423', '16.6251624')",15.141084656332879 km
18092,"('Swan Hill', 'Australia')","('-35.429176', '143.45406')","('-35.2950696', '143.592801')",19.50313937527472 km
18093,"('Lichtenstein', 'Germany')","('48.3874279', '9.2168084')","('48.4622283', '9.3157842')",11.08347832767487 km
18094,"('Sajószentpéter', 'Hungary')","('48.1830915', '20.6691035')","('48.2622834', '20.7674345')",11.442173741320177 km
18095,"('Ponteland', 'United Kingdom')","('55.0098798', '-1.7835142')","('55.0898798', '-1.7035142')",10.26940112901861 km
18096,"('Fulton', 'United States')","('38.815344', '-91.986289')","('38.915414', '-91.916365')",12.658620407801243 km
18097,"('Beauharnois', 'Canada')","('45.2415004', '-73.9762707')","('45.3579723', '-73.8118562')",18.2718096754979 km
18098,"('Les Îles-de-la-Madeleine', 'Canada')","('47.2117209', '-62.0212004')","('47.5784394', '-61.4924719')",57.057133071748794 km
18099,"('Zlaté Moravce', 'Slovakia')","('48.3465703', '18.3528161')","('48.4119363', '18.4686526')",11.245521202934318 km
18100,"('Mitai', 'Japan')","('32.7041678', '131.3087754')","('32.7241678', '131.3287754')",2.904367028292724 km
18101,"('Nyírbátor', 'Hungary')","('47.7702047', '22.0542458')","('47.88229', '22.2515493')",19.32768521680796 km
18102,"('Princetown', 'Guyana')","('5.8815702', '-57.1593923')","('5.9215702', '-57.1193923')",6.259860148877665 km
18103,"('Volosovo', 'Russia')","('59.4317657', '29.4409859')","('59.4573233', '29.5204014')",5.329691938065429 km
18104,"('Spring Lake', 'United States')","('40.137514', '-74.037682')","('40.169092', '-74.015081')",4.000329144977089 km
18105,"('Holyhead', 'United Kingdom')","('53.2706715', '-4.6730966')","('53.3506715', '-4.5930966')",10.378046632335101 km
18106,"('Folkston', 'United States')","('30.810839', '-82.035578')","('30.883573', '-81.973267')",10.027534467380681 km
18107,"('Sárbogárd', 'Hungary')","('46.7964966', '18.4607028')","('46.9474953', '18.7215235')",26.022360731032858 km
18108,"('Macedonia', 'United States')","('41.1874306', '-95.4332699')","('41.1966887', '-95.4207419')",1.470278325871744 km
18109,"('Hildburghausen', 'Germany')","('50.3942385', '10.6404017')","('50.4794483', '10.830477')",16.498253059550784 km
18110,"('Jerome', 'United States')","('39.7631034', '-89.6869321')","('39.7715433', '-89.668144')",1.8626990094312075 km
18111,"('Kasaji', 'Congo (Kinshasa)')","('-10.4234167', '23.4098695')","('-10.3434167', '23.4898695')",12.45195228665743 km
18112,"('Pritzwalk', 'Germany')","('53.0725081', '12.0827707')","('53.2308018', '12.3320908')",24.260166573072354 km
18113,"('Geisenheim', 'Germany')","('49.9750086', '7.8828176')","('50.0974469', '7.9921718')",15.711396444675398 km
18114,"('Olivenza', 'Spain')","('38.4538698', '-7.2725146')","('38.7855878', '-6.9526765')",46.17152451405441 km
18115,"('Montrose', 'United Kingdom')","('56.6714295', '-2.5081544')","('56.7514295', '-2.4281544')",10.166743842549671 km
18116,"('Diamond Springs', 'United States')","('42.6605843', '-85.9169758')","('42.7005843', '-85.8769758')",5.52202772983441 km
18117,"('Abergele', 'United Kingdom')","('53.2440692', '-3.6210655')","('53.3240692', '-3.5410655')",10.379715657886246 km
18118,"('Moncks Corner', 'United States')","('33.179888', '-80.033748')","('33.214773', '-79.968834')",7.183782174881677 km
18119,"('Minabe', 'Japan')","('33.7091896', '135.2410474')","('33.88837', '135.465009')",28.72476576011361 km
18120,"('Killarney', 'Ireland')","('52.0195746', '-9.545322')","('52.0995746', '-9.465322')",10.456713492625706 km
18121,"('Dinkelsbühl', 'Germany')","('49.0286323', '10.20405')","('49.1299949', '10.4316132')",20.08618344658233 km
18122,"('Santoña', 'Spain')","('43.4348897', '-3.4873655')","('43.4689221', '-3.4254799')",6.275919238769835 km
18123,"('Bátonyterenye', 'Hungary')","('47.9169296', '19.7530506')","('48.0480735', '19.903713')",18.41540070644219 km
18124,"('Newton', 'United States')","('42.2829914', '-71.2703252')","('42.3678252', '-71.1568867')",13.27513308998116 km
18125,"('Garden City', 'United States')","('37.9369447', '-100.9016843')","('38.0035673', '-100.7925132')",12.112071193106178 km
18126,"('Somersworth', 'United States')","('43.2234305', '-70.927105')","('43.2873391', '-70.8381278')",10.129877284573917 km
18127,"('Diez', 'Germany')","('50.3339769', '7.9902478')","('50.3861281', '8.0639356')",7.819678276336289 km
18128,"('Norton', 'United States')","('36.9001165', '-82.6636261')","('36.9597637', '-82.58919')",9.37000473415175 km
18129,"('Bad Dürrenberg', 'Germany')","('51.2491365', '12.0402871')","('51.3205945', '12.1718907')",12.14509696823042 km
18130,"('Ellwood City', 'United States')","('40.84265', '-80.300847')","('40.876111', '-80.263733')",4.85796373223702 km
18131,"('Glenwood Springs', 'United States')","('39.4949854', '-107.3809393')","('39.5692799', '-107.3050899')",10.514920182025977 km
18132,"('Great Wyrley', 'United Kingdom')","('52.6170862', '-2.0552201')","('52.6970862', '-1.9752201')",10.419102133431004 km
18133,"('Greensburg', 'United States')","('40.285243', '-79.57534')","('40.342435', '-79.522966')",7.755629715772967 km
18134,"('Pavlikeni', 'Bulgaria')","('43.109631', '25.139809')","('43.4140106', '25.539222')",46.852996824810106 km
18135,"('Negreşti-Oaş', 'Romania')","('47.7786921', '23.338769')","('47.9056315', '23.601752')",24.22196962687414 km
18136,"('Macclenny', 'United States')","('30.2488287', '-82.1498922')","('30.3085937', '-82.09967')",8.200326204104407 km
18137,"('East Grand Rapids', 'United States')","('42.930651', '-85.6300658')","('42.9608504', '-85.588751')",4.756519350103292 km
18138,"('Drolshagen', 'Germany')","('50.9777512', '7.7016776')","('51.0799901', '7.831124')",14.554549183474682 km
18139,"('Newberry', 'United States')","('34.249504', '-81.63794')","('34.313866', '-81.54331')",11.264819272862391 km
18140,"('Mastic Beach', 'United States')","('40.739204', '-72.8718655')","('40.781658', '-72.807162')",7.21638777307602 km
18141,"('Chuquicamata', 'Chile')","('-22.3371446', '-68.9503083')","('-22.2971446', '-68.9103083')",6.0501275082370505 km
18142,"('Çüngüş', 'Turkey')","('38.1047439', '39.10654')","('38.3556865', '39.5142294')",45.27800773615232 km
18143,"('Myjava', 'Slovakia')","('48.7303505', '17.5503038')","('48.777892', '17.6009706')",6.467677443835969 km
18144,"('Sandy', 'United Kingdom')","('52.0895713', '-0.3331657')","('52.1695713', '-0.2531657')",10.452304158929698 km
18145,"('Lansing', 'United States')","('42.647483', '-84.701284')","('42.7949754', '-84.417581')",28.43313495720027 km
18146,"('Nowe Miasto Lubawskie', 'Poland')","('53.4063067', '19.5491154')","('53.4442547', '19.6186459')",6.261049325650701 km
18147,"('Norwalk', 'United States')","('41.020449', '-73.4745657')","('41.1712683', '-73.379088')",18.571033308735377 km
18148,"('Nambour', 'Australia')","('-26.6657326', '152.919953')","('-26.5857326', '152.999953')",11.91773592518704 km
18149,"('Fairfax Station', 'United States')","('38.780859', '-77.3456803')","('38.820859', '-77.3056803')",5.638406096660123 km
18150,"('Qazmalar', 'Azerbaijan')","('41.2952618', '46.871823')","('41.3039413', '46.8882537')",1.680147425394779 km
18151,"('Belp', 'Switzerland')","('46.8525015', '7.4779142')","('46.9247604', '7.546403')",9.579883532550046 km
18152,"('West Deer', 'United States')","('42.152111', '-88.12955')","('42.185014', '-88.038669')",8.351774136411974 km
18153,"('Pozharan', 'Kosovo')","('42.3444525', '21.3211742')","('42.3844525', '21.3611742')",5.531683997398667 km
18154,"('Robinson', 'United States')","('31.39918', '-97.177459')","('31.506996', '-97.06602')",15.97191194459783 km
18155,"('Pilis', 'Hungary')","('47.2384688', '19.5053617')","('47.3355789', '19.6213182')",13.91066085453917 km
18156,"('Patterson', 'United States')","('41.341917', '-93.8862331')","('41.3550989', '-93.8708495')",1.9495698026540138 km
18157,"('Portales', 'United States')","('34.1347162', '-103.4199803')","('34.205835', '-103.309374')",12.893089454770625 km
18158,"('Holešov', 'Czechia')","('49.3062873', '17.4972852')","('49.3682267', '17.65582')",13.424022924560683 km
18159,"('Valencia West', 'United States')","('32.104276', '-111.1695776')","('32.166536', '-111.08881')",10.283016945320405 km
18160,"('Miesbach', 'Germany')","('47.756558', '11.7748475')","('47.8254775', '11.9051413')",12.410677439790376 km
18161,"('Amelia', 'Italy')","('42.4859202', '12.3066827')","('42.6300461', '12.4790303')",21.369376571605297 km
18162,"('Bordentown', 'United States')","('40.1262213', '-74.7318264')","('40.1662213', '-74.6918264')",5.598614316905931 km
18163,"('Downham Market', 'United Kingdom')","('52.5625283', '0.3373258')","('52.6425283', '0.4173258')",10.42253355567023 km
18164,"('Wellington North', 'Canada')","('43.7836287', '-80.7713166')","('44.0259785', '-80.3879158')",40.91139817934126 km
18165,"('Spencer', 'United States')","('43.1050739', '-95.2019005')","('43.1982353', '-95.1114203')",12.699752353780887 km
18166,"('St. Andrews', 'Canada')","('45.5417341', '-61.940362')","('45.5856461', '-61.8436557')",8.989968421259723 km
18167,"('Veurne', 'Belgium')","('51.0516197', '2.6008167')","('51.0902908', '2.7769063')",13.070527797190444 km
18168,"('Port Washington', 'United States')","('40.8051394', '-73.7169271')","('40.853973', '-73.6490229')",7.8877695142107775 km
18169,"('Somerville', 'Australia')","('-38.256677', '145.148333')","('-38.203359', '145.261807')",11.564631374002966 km
18170,"('Wootton', 'United Kingdom')","('52.0760512', '-0.5505613')","('52.1160512', '-0.5105613')",5.227208380720181 km
18171,"('Upper', 'United States')","('40.7692277', '-73.9941524')","('40.8061801', '-73.9583301')",5.097168476902028 km
18172,"('Maxhütte-Haidhof', 'Germany')","('49.1433314', '12.0564896')","('49.2217959', '12.1566788')",11.379779333016176 km
18173,"('Arkadak', 'Russia')","('51.909189', '43.4635805')","('51.950896', '43.5378148')",6.899873800417883 km
18174,"('Green River', 'United States')","('41.4528392', '-109.521075')","('41.546991', '-109.425258')",13.166289350461803 km
18175,"('Tremonton', 'United States')","('41.691901', '-112.2402978')","('41.7400816', '-112.1231389')",11.121783104020073 km
18176,"('Ibirá', 'Brazil')","('-21.184', '-49.316')","('-20.958', '-49.117')",32.462096510788264 km
18177,"('Osterhofen', 'Germany')","('48.5982202', '12.9042595')","('48.7758678', '13.1010471')",24.499009643618034 km
18178,"('Carleton Place', 'Canada')","('45.1207527', '-76.1697945')","('45.156266', '-76.1069369')",6.3262658706012385 km
18179,"('Vendas Novas', 'Portugal')","('38.5421163', '-8.6584679')","('38.7546045', '-8.3782396')",33.9338089173721 km
18180,"('Laichingen', 'Germany')","('48.4322868', '9.5818252')","('48.536057', '9.8020699')",19.955926236709406 km
18181,"('Accokeek', 'United States')","('38.6276168', '-77.0683092')","('38.7076168', '-76.9883092')",11.284619828834598 km
